k,cv_accuracy
1,0.695160031225605
3,0.7428051001821494
5,0.7409575852198803
7,0.7492583918813428
9,0.7573510278428313
11,0.7672391360915951
13,0.765703877179287
15,0.7624772313296904
19,0.7672391360915951
25,0.7722092115534738
